Notes,manual_label
back injury (out indefinitely),long term injury
strained left quadriceps (DTD),DTD/DNP
placed on IL with surgery to repair fractured left cheekbone,surgery
placed on IL with right Achilles tendon injury,injury
placed on IL with detached retina in left eye (out for season),long term injury
player began serving suspension game suspension,suspension
placed on IL recovering from surgery to repair torn left Achilles tendon,surgery
sore left Achilles (DNP),soreness
sore right leg (DNP),soreness
placed on IL with torn ACL and partially torn MCL in right knee (out for season),long term injury
assigned to NBA G League (Long Island Nets),G-leaue assignment
placed on IL with gastrointestinal ailment,illness
placed on IL with left knee injury,injury
placed on IL with right hip flexor injury,injury
bruised left ankle (DTD),DTD/DNP
placed on IL with sprained right ankle,injury
arthroscopic surgery on right knee to remove torn cartilage (out indefinitely),surgery
placed on IL with sprained ankles,injury
strained right knee (DNP),DTD/DNP
placed on IL with headaches/concussion,illness
fractured right little toe (DNP),DTD/DNP
bruised left foot (DTD),DTD/DNP
sprained left ankle (DNP) (P),DTD/DNP
suspended by team for long term injury game for conduct detrimental to the team,suspension
placed on IL recovering from surgery on right leg to repair fractured tibia (out for season),surgery
sprained/strained right index finger (DTD),DTD/DNP
placed on IL with sore left calf (out for season),long term injury
placed on IL with partially dislocated left shoulder (out for season),long term injury
placed on IL with enlarged heart (out for season),long term injury
placed on IL with strained left Achilles,injury
placed on IL with right hand injury,injury
placed on IL with turf toe in left big toe,injury
strained left index finger (out for season),long term injury
placed on IL recovering from surgery to repair ligament and bone in toe,surgery
placed on IL with stress reaction in tibia in left leg (out for season),long term injury
flu (DTD),illness
strained lower back (DNP),DTD/DNP
bruised left thumb (DNP),DTD/DNP
torn lateral meniscus in right knee (out indefinitely),long term injury
bruised right thumb (DTD),DTD/DNP
placed on IL with bruised left lower leg,injury
left quadriceps tendon injury (DTD),DTD/DNP
"fined $long term injurysuspension,000 by NBA for publically criticizing the referees after game",fined
placed on IL with bursitis in left heel,injury
left hip injury (out indefinitely),long term injury
placed on IL with hamstring injury / rest,other reasons
bruised right heel (DNP),DTD/DNP
surgery on left wrist to repair torn ligament (out indefinitely),surgery
fractured lower left leg (out for season),long term injury
strained neck (DTD),DTD/DNP
"fined $surgerysuspension,000 by NBA for critical comments towards officiating",fined
"fined $surgerysuspension,000 by NBA for his role in on-court altercation during game",fined
rest / sore right knee (DNP),soreness
stiff neck (DNP),DTD/DNP
placed on IL recovering from surgery to repair fractured right index finger,surgery
"fined $suspension0,000 for his role in altercation during game",fined
placed on IL with tightness in lower back / lower back spasms,injury
surgery on left knee to repair torn medial meniscus (out indefinitely),surgery
placed on IL with right Achilles injury (out for season),long term injury
right hamstring tendinitis/tightness (DTD),DTD/DNP
surgery on back (out for season),surgery
lacerated finger (DTD),DTD/DNP
right hamstring tendinitis (DTD),DTD/DNP
suspended by NBA for other reasons games for violating the league's anti-drug policy,suspension
microfracture surgery on left knee (out indefinitely),long term injury
placed on IL with nerve inflammation in left leg,injury
arthroscopic debridement surgery on right knee (out indefinitely),surgery
suspended by NBA for suspension games for violating the league's anti-drug program,suspension
placed on IL with strained abdominal / right hip injury,injury
placed on IL with hright hip pointer,injury
strained right calf (out for season),long term injury
arthroscopic surgery on left knee to repair torn cartilage (out indefinitely),surgery
stomach virus (DTD),illness
surgery on left foot (out indefinitely),surgery
"fined $surgerysuspension,000 by NBA for shoving opposing player during an altercation during game",fined
"fined $long term injurysuspension,000 by NBA for kicking ball into stands during game",fined
recovering from surgery on lower right leg to remove screw / rest (DTD),DTD/DNP
surgery on left thumb to repair chip fracture and torn ligament (out indefinitely),surgery
suspended by NBA for long term injury game for making inappropriate contact with and verbally abusing a game official,suspension
placed on IL with tibia injury in left leg,injury
laceration on left thumb (DTD),DTD/DNP
sprained right ankle (DNP) (F),DTD/DNP
fractured bone in right pinky finger (out indefinitely),long term injury
"fined $DTD/DNPsuspension,000 by NBA for escalating an altercation during game",fined
surgery on left foot and ankle to repair torn tendon,surgery
left calf injury / strained right calf (DNP),DTD/DNP
strained left shoulder (out indefinitely),long term injury
surgery on left knee to reconstruct ACL (out for season),surgery
placed on IL with shin injury,injury
placed on IL with sore right ankle/heel,soreness
placed on IL with cervical injury,injury
placed on IL with fractured bone in right pinky finger,injury
placed on IL with bruised quadriceps / sore knee (DTD),soreness
surgery on right hand to repair fracture (out for season),surgery
sore left abductor / adductor (DTD),DTD/DNP
back injury / sore left side (DTD),DTD/DNP
strained/sore left knee (DNP),soreness
left hip injury (DNP),DTD/DNP
fractured patella in left knee (DNP),injury
suspended by NBA for long term injury game for elbowing opposing player in chin,suspension
finger injury (out for season),long term injury
placed on IL with back spasms / strained lower back,injury
bruised lower back (DNP),DTD/DNP
sore back (DTD),soreness
placed on IL with right knee inflammation,injury
left ankle inflammation (DTD),DTD/DNP
"fined $DTD/DNPsuspension,000 by NBA for throwing mouth piece and entering the stands during game",fined
"fined $other reasons,000 by NBA for making public statement implying that he wanted to be traded",fined
placed on IL with high left ankle sprain (out for season),long term injury
"fined $DTD/DNPsuspension,000 by NBA for directing obscene language toward a fan",fined
placed on IL with Achilles tendon injury,injury
hyperextended left thumb (DTD),DTD/DNP
sprained left foot (DNP),DTD/DNP
fractured cheekbone (out indefinitely),long term injury
sore right knee (out for season),long term injury
placed on IL with sore left knee / patellar tendinitis in left knee,soreness
stress reaction in left ankle (DNP),DTD/DNP
surgery on left knee to transplant cartilage (out for season),surgery
left calf injury (DTD),DTD/DNP
placed on IL with left knee tendinitis (F),injury
personal reasons (DTD),other reasons
activated from IL,returned
returned to lineup,returned
rest (DTD),other reasons
stomach virus (DNP),illness
stomach illness (DNP),illness
family reasons (DTD),other reasons
called up from NBADL,called up from G-leaue
assigned to NBADL,G-leaue assignment
death in family (DNP),other reasons
player issued warning by NBA for flopping,fined
reinstated from suspended list,returned
birth of daughter (DNP),other reasons
activated,returned
sinus infection (DNP),illness
unspecified (DTD),other reasons
COVID-19 protocols,illness
chicken pox (DNP),illness
vertigo (DNP),illness
called up from NBA G League,called up from G-leaue
assigned to NBA G League,G-leaue assignment
suspended by NBA for 1 game,suspension
suspended by team for 1 game for conduct detrimental to the team,suspension
suspended by NBA for 1 game for altercation,suspension
suspended by NBA for 1 game for bumping referee,suspension
player began serving suspension by NBA for 10 games for pleading guilty to carrying a concealed weapon,suspension
placed on suspended list,suspension
suspended by NBA for 2 games for flagrant foul,suspension
placed on IL for suspension,suspension
suspended by team for 4 games and fined 5 games pay for fracturing his right hand in an earlier off-court incident,suspension
suspended by NBA for 1 game for elbowing opposing player in face,suspension
flu / stomach virus (DNP),illness
sore throat / flu (DNP),illness
illness/flu (DNP),illness
flu/gastroenteritis (DTD),illness
upper respiratory distress / flu (DTD),illness
illness (DNP),illness
illness (out for season),illness
placed on IL with illness (P),illness
stomach illness/virus (DTD),illness
placed on IL for personal reasons,other reasons
personal reasons (death of brother) (DTD),other reasons
personal reasons (out indefinitely),other reasons
personal reasons (DNP) (P CBC),other reasons
placed on IL with death of grandfather,other reasons
placed on IL with death of grandmother,other reasons
placed on IL with legal problems,other reasons
placed on IL with legal issues,other reasons
assigned to NBA G League,G-leaue assignment
assigned to NBA G League (Long Island Nets),G-leaue assignment
assigned to NBA G League (Salt Lake City Stars),G-leaue assignment
assigned to NBA G League (Santa Cruz Warriors),G-leaue assignment
assigned to NBA G League for rehab,G-leaue assignment
called up from NBA G LeagueX,called up from G-leaue
called up from NBADL (R),called up from G-leaue
called up from NBADL (SN),called up from G-leaue
called up from NBADL (NBA),called up from G-leaue
placed on IL (out for season),long term injury
placed on IL with strained right hamstring (out for season),long term injury
torn right pectoral muscle (out for season),long term injury
placed on IL with sprained left ankle (out for season),long term injury
placed on IL with left shoulder injury (out for season),long term injury
placed on IL with heart condition (out for season),long term injury
torn tendon in right ankle (out for season),long term injury
blood clot in right lung (out for season),long term injury
placed on IL with torn labrum in right shoulder (out for season),long term injury
placed on IL with torn ACL in left knee (out for season),long term injury
torn meniscus in right knee (out for season),long term injury
sprained right ankle (out indefinitely),long term injury
patellar tendinitis in left knee (out indefinitely),long term injury
broken left little finger (out indefinitely),long term injury
torn medial meniscus in right knee (out indefinitely),long term injury
placed on IL with sore left knee,soreness
sore right ankle (DNP),soreness
sore right Achilles (DTD),soreness
sore chest (P) / shoulder injury (CBC) (DNP),soreness
sore left shoulder (DNP),soreness
sore ankle (DNP) (P),soreness
sore right leg (DNP),soreness
placed on IL with sore right leg,soreness
sore right elbow (DNP),soreness
sore groin (DNP),soreness
sore right hamstring (DNP),soreness
sore back (DTD),soreness
placed on IL with sore shoulder,soreness
returned to lineup,returned
returned to lineup (CBC),returned
returned to lineup (date approximate),returned
reinstated,returned
"reinstated from supspension, activated from IL",returned
activated from IL,returned
activated from IL (P),returned
activated from iL,returned
activated,returned
activated from IL with throat injury,returned
player excused from all team-related activities during police investigation (out for season),other reasons
player will not participate in any team-related activities pending a league investigation on his arrest on domestic assault charges,other reasons
gastroenteritis / food poisoning (DNP),illness
gastroententis (DTD),illness
flu/gastroenteritis (DTD),illness
illness (DTD),illness
stomach illness (DNP),illness
illness (DNP),illness
placed on IL with illness / flu,illness
placed on IL with illness / bacterial infection,illness
placed on IL with ear infection,illness
placed on IL with foot infection,illness
upper respiratory infection (DNP),illness
placed on IL with sinus infection,illness
viral infection (DNP),illness
infection in right toe (DTD),illness
sinus infection (DTD),illness
placed on IL with tooth infection,illness
placed on IL with right knee injury,injury
placed on IL with Achilles tendon injury,injury
placed on IL with quadriceps injury,injury
placed on IL with leg injury,injury
placed on IL with left hand injury,injury
placed on IL with left wrist injury,injury
placed on IL with groin injury,injury
placed on IL with back injury,injury
placed on IL with right shoulder injury,injury
placed on IL with sore left knee / right hip injury,injury
placed on IL with finger injury,injury
placed on IL with torn plantar fascia in right foot / right heel injury (CBC),injury
placed on IL with torn left pectoral muscle,injury
torn ACL in right knee (DNP),injury
torn tendon in left ankle (DNP),injury
placed on IL with torn tendon in left ankle,injury
torn right hip flexor (DNP),injury
placed on IL withi broken right wrist,injury
placed on IL with broken right foot,injury
placed on IL with broken bone in left hand,injury
broken right foot (DNP),injury
death of grandmother (DNP),other reasons
death of brother (DNP),other reasons
personal reasons (death of brother) (DTD),other reasons
placed on IL for personal reasons (death of brother),other reasons
personal reasons (DNP) (CBC),other reasons
placed on IR for personal reasons,other reasons
personal reasons (out for season),other reasons
placed on IL for rest / personal reasons,other reasons
placed on IL with personal reasons,other reasons
placed on IL with personal reasons,other reasons
placed on IL for personal reaons,other reasons
placed on IL forpersonal reasons,other reasons
family reasons (DTD),other reasons
disciplinary reasons (player late to walk-through) (DTD),other reasons
disciplinary reasons (player left court before end of earlier game) (DTD),other reasons
